2016-10-27 09:38:38,430 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SmartBuy:gui:0.0.1-SNAPSHOT @ /Users/qianshengxin/Dropbox/PersonalWork/qsxyh123/Amazon_Shopping_Suggestion/gui/pom.xml.
2016-10-27 09:38:39,473 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /gui/src/main/java
2016-10-27 09:38:39,474 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /gui/src/main/resources
2016-10-27 09:38:39,475 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /gui/src/test/java
2016-10-27 09:38:39,675 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 3 sec
2016-10-27 09:38:44,854 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 09:38:44,882 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 26 resources
2016-10-27 09:38:44,999 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 09:38:45,000 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/qianshengxin/Dropbox/PersonalWork/qsxyh123/Amazon_Shopping_Suggestion/gui/src/test/resources
2016-10-27 09:39:45,153 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 09:39:45,159 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 26 resources
2016-10-27 09:39:45,268 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 09:39:45,269 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/qianshengxin/Dropbox/PersonalWork/qsxyh123/Amazon_Shopping_Suggestion/gui/src/test/resources
2016-10-27 09:40:13,190 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 09:40:13,191 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-27 09:40:13,192 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 09:40:13,193 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/qianshengxin/Dropbox/PersonalWork/qsxyh123/Amazon_Shopping_Suggestion/gui/src/test/resources
2016-10-27 09:40:22,523 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-10-27 09:41:22,919 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 09:41:22,926 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-27 09:41:22,928 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 09:41:22,929 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/qianshengxin/Dropbox/PersonalWork/qsxyh123/Amazon_Shopping_Suggestion/gui/src/test/resources
2016-10-27 09:41:54,987 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 09:41:54,991 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-27 09:41:54,996 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 09:41:55,001 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/qianshengxin/Dropbox/PersonalWork/qsxyh123/Amazon_Shopping_Suggestion/gui/src/test/resources
2016-10-27 09:44:43,490 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 09:44:43,494 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-27 09:44:43,496 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 09:44:43,497 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/qianshengxin/Dropbox/PersonalWork/qsxyh123/Amazon_Shopping_Suggestion/gui/src/test/resources
